사용본거지 시군구,읍면동 (행정동),current_ev_count,total_vehicles,future_ev_count,adjusted_ev_demand,increase_amount,lat,lon,행정동만,search_address,grid_id
서울특별시 동작구,동작구 사당5동 ,28.0,4203.0,2101.5,2129.5,2101.5,37.47945512691658,126.96979816151266,사당5동,사당동,GRID_017_048
서울특별시 동작구,동작구 신대방1동 ,71.0,7495.0,3747.5,3818.5,3747.5,37.49825179232164,126.92888278682139,신대방1동,신대방동,GRID_021_040
서울특별시 동작구,동작구 신대방2동 ,53.0,6373.0,3186.5,3239.5,3186.5,37.49825179232164,126.92888278682139,신대방2동,신대방동,GRID_021_040
서울특별시 마포구,마포구 도화1동 ,0.0,1.0,0.5,0.5,0.5,37.5411598068907,126.95428544799444,도화1동,도화동,GRID_031_045
서울특별시 마포구,마포구 도화2동 ,0.0,0.0,0.0,0.0,0.0,37.5411598068907,126.95428544799444,도화2동,도화동,GRID_031_045
서울특별시 마포구,마포구 망원1동 ,66.0,5704.0,2852.0,2918.0,2852.0,37.556077587090044,126.89559398972315,망원1동,망원동,GRID_034_034
서울특별시 마포구,마포구 망원2동 ,40.0,5346.0,2673.0,2713.0,2673.0,37.556077587090044,126.89559398972315,망원2동,망원동,GRID_034_034
서울특별시 서대문구,서대문구 남가좌1동 ,45.0,5397.0,2698.5,2743.5,2698.5,37.58447480304251,126.92304091874152,남가좌1동,남가좌동,GRID_040_039
서울특별시 서대문구,서대문구 남가좌2동 ,60.0,8492.0,4246.0,4306.0,4246.0,37.58447480304251,126.92304091874152,남가좌2동,남가좌동,GRID_040_039
서울특별시 서대문구,서대문구 북가좌1동 ,72.0,7375.0,3687.5,3759.5,3687.5,37.58208861390999,126.92032386730546,북가좌1동,북가좌동,GRID_040_039
서울특별시 서대문구,서대문구 북가좌2동 ,64.0,8515.0,4257.5,4321.5,4257.5,37.58208861390999,126.92032386730546,북가좌2동,북가좌동,GRID_040_039
서울특별시 서대문구,서대문구 홍은1동 ,54.0,7100.0,3550.0,3604.0,3550.0,37.59905469063733,126.9559092462836,홍은1동,홍은동,GRID_044_045
서울특별시 서대문구,서대문구 홍은2동 ,64.0,7363.0,3681.5,3745.5,3681.5,37.59905469063733,126.9559092462836,홍은2동,홍은동,GRID_044_045
서울특별시 서초구,서초구 반포1동 ,164.0,11760.0,5880.0,6044.0,5880.0,37.507061438087234,126.99796884648808,반포1동,반포동,GRID_023_053
서울특별시 서초구,서초구 반포2동 ,149.0,5827.0,2913.5,3062.5,2913.5,37.507061438087234,126.99796884648808,반포2동,반포동,GRID_023_053
서울특별시 서초구,서초구 반포4동 ,78.0,7042.0,3521.0,3599.0,3521.0,37.507061438087234,126.99796884648808,반포4동,반포동,GRID_023_053
서울특별시 서초구,서초구 방배1동 ,67.0,7283.0,3641.5,3708.5,3641.5,37.49419167046039,126.99330411178794,방배1동,방배동,GRID_020_052
서울특별시 서초구,서초구 방배2동 ,48.0,5992.0,2996.0,3044.0,2996.0,37.49419167046039,126.99330411178794,방배2동,방배동,GRID_020_052
서울특별시 서초구,서초구 방배3동 ,43.0,7024.0,3512.0,3555.0,3512.0,37.49419167046039,126.99330411178794,방배3동,방배동,GRID_020_052
서울특별시 서초구,서초구 방배4동 ,72.0,8080.0,4040.0,4112.0,4040.0,37.49419167046039,126.99330411178794,방배4동,방배동,GRID_020_052
서울특별시 서초구,서초구 서초1동 ,987.0,17110.0,8555.0,9542.0,8555.0,37.4903168762327,127.00257824773777,서초1동,서초동,GRID_020_054
서울특별시 서초구,서초구 서초2동 ,122.0,10137.0,5068.5,5190.5,5068.5,37.4903168762327,127.00257824773777,서초2동,서초동,GRID_020_054
서울특별시 성동구,성동구 왕십리2동 ,28.0,4485.0,2242.5,2270.5,2242.5,37.57045608156956,127.02583808101915,왕십리2동,왕십리동,GRID_037_058
서울특별시 성동구,성동구 행당1동 ,87.0,4222.0,2111.0,2198.0,2111.0,37.562745462196006,127.03891584766276,행당1동,행당동,GRID_036_060
서울특별시 성동구,성동구 행당2동 ,38.0,6717.0,3358.5,3396.5,3358.5,37.562745462196006,127.03891584766276,행당2동,행당동,GRID_036_060
서울특별시 성북구,성북구 길음1동 ,80.0,10746.0,5373.0,5453.0,5373.0,37.60669970304173,127.02739638819574,길음1동,길음동,GRID_045_058
서울특별시 성북구,성북구 길음2동 ,65.0,6447.0,3223.5,3288.5,3223.5,37.60669970304173,127.02739638819574,길음2동,길음동,GRID_045_058
서울특별시 성북구,성북구 돈암1동 ,27.0,4161.0,2080.5,2107.5,2080.5,37.60323504984718,127.02619806364726,돈암1동,돈암동,GRID_045_058
서울특별시 성북구,성북구 돈암2동 ,66.0,7574.0,3787.0,3853.0,3787.0,37.60323504984718,127.02619806364726,돈암2동,돈암동,GRID_045_058
서울특별시 성북구,성북구 장위1동 ,53.0,6535.0,3267.5,3320.5,3267.5,37.61329125385373,127.0614302100012,장위1동,장위동,GRID_047_064
서울특별시 성북구,성북구 장위2동 ,24.0,3290.0,1645.0,1669.0,1645.0,37.61329125385373,127.0614302100012,장위2동,장위동,GRID_047_064
서울특별시 성북구,성북구 장위3동 ,46.0,5084.0,2542.0,2588.0,2542.0,37.61329125385373,127.0614302100012,장위3동,장위동,GRID_047_064
서울특별시 성북구,성북구 정릉1동 ,120.0,6152.0,3076.0,3196.0,3076.0,37.60558677395031,127.01812312233142,정릉1동,정릉동,GRID_045_056
서울특별시 성북구,성북구 정릉2동 ,54.0,6441.0,3220.5,3274.5,3220.5,37.60558677395031,127.01812312233142,정릉2동,정릉동,GRID_045_056
서울특별시 성북구,성북구 정릉3동 ,21.0,3615.0,1807.5,1828.5,1807.5,37.60558677395031,127.01812312233142,정릉3동,정릉동,GRID_045_056
서울특별시 성북구,성북구 정릉4동 ,66.0,7238.0,3619.0,3685.0,3619.0,37.60558677395031,127.01812312233142,정릉4동,정릉동,GRID_045_056
서울특별시 송파구,송파구 가락1동 ,160.0,11406.0,5703.0,5863.0,5703.0,37.503053205606335,127.12306444104215,가락1동,가락동,GRID_022_075
서울특별시 송파구,송파구 가락2동 ,82.0,10758.0,5379.0,5461.0,5379.0,37.503053205606335,127.12306444104215,가락2동,가락동,GRID_022_075
서울특별시 송파구,송파구 거여1동 ,28.0,4079.0,2039.5,2067.5,2039.5,37.498868369210136,127.14493569404942,거여1동,거여동,GRID_021_079
서울특별시 송파구,송파구 방이1동 ,58.0,6856.0,3428.0,3486.0,3428.0,37.5123369726211,127.11358052217005,방이1동,방이동,GRID_024_073
서울특별시 송파구,송파구 방이2동 ,81.0,7838.0,3919.0,4000.0,3919.0,37.5123369726211,127.11358052217005,방이2동,방이동,GRID_024_073
서울특별시 송파구,송파구 송파1동 ,53.0,7725.0,3862.5,3915.5,3862.5,37.50653466782674,127.10926937343834,송파1동,송파동,GRID_023_073
서울특별시 송파구,송파구 잠실2동 ,134.0,12195.0,6097.5,6231.5,6097.5,37.51832852686033,127.07306668545499,잠실2동,잠실동,GRID_026_066
서울특별시 송파구,송파구 잠실3동 ,113.0,12045.0,6022.5,6135.5,6022.5,37.51832852686033,127.07306668545499,잠실3동,잠실동,GRID_026_066
서울특별시 송파구,송파구 잠실4동 ,120.0,10216.0,5108.0,5228.0,5108.0,37.51832852686033,127.07306668545499,잠실4동,잠실동,GRID_026_066
서울특별시 송파구,송파구 잠실7동 ,29.0,3642.0,1821.0,1850.0,1821.0,37.51832852686033,127.07306668545499,잠실7동,잠실동,GRID_026_066
서울특별시 송파구,송파구 풍납1동 ,37.0,4284.0,2142.0,2179.0,2142.0,37.540843026342074,127.11868453843826,풍납1동,풍납동,GRID_031_074
서울특별시 양천구,양천구 신정1동 ,142.0,8242.0,4121.0,4263.0,4121.0,37.545529445342254,126.92986251169265,신정1동,신정동,GRID_032_041
서울특별시 양천구,양천구 신정2동 ,61.0,6277.0,3138.5,3199.5,3138.5,37.545529445342254,126.92986251169265,신정2동,신정동,GRID_032_041
서울특별시 양천구,양천구 신정3동 ,104.0,16268.0,8134.0,8238.0,8134.0,37.545529445342254,126.92986251169265,신정3동,신정동,GRID_032_041
서울특별시 양천구,양천구 신정4동 ,60.0,9028.0,4514.0,4574.0,4514.0,37.545529445342254,126.92986251169265,신정4동,신정동,GRID_032_041
서울특별시 양천구,양천구 신정6동 ,77.0,8833.0,4416.5,4493.5,4416.5,37.545529445342254,126.92986251169265,신정6동,신정동,GRID_032_041
서울특별시 영등포구,영등포구 양평1동 ,48.0,9745.0,4872.5,4920.5,4872.5,37.54196599020288,126.89383046197699,양평1동,양평동,GRID_031_034
서울특별시 영등포구,영등포구 양평2동 ,88.0,11895.0,5947.5,6035.5,5947.5,37.54196599020288,126.89383046197699,양평2동,양평동,GRID_031_034
서울특별시 영등포구,영등포구 영등포1동 ,0.0,0.0,0.0,0.0,0.0,37.52074542623261,126.9010871095523,영등포1동,영등포동,GRID_026_035
서울특별시 용산구,용산구 이촌1동 ,100.0,8907.0,4453.5,4553.5,4453.5,37.526611524558135,126.95609693358243,이촌1동,이촌동,GRID_028_045
서울특별시 용산구,용산구 이촌2동 ,30.0,2709.0,1354.5,1384.5,1354.5,37.526611524558135,126.95609693358243,이촌2동,이촌동,GRID_028_045
서울특별시 용산구,용산구 이태원1동 ,65.0,2310.0,1155.0,1220.0,1155.0,37.541338618781936,126.99597067355921,이태원1동,이태원동,GRID_031_052
