grid_id,center_lat,center_lon,demand_score,supply_score,commercial_count,station_count,supply_demand_ratio,population_density,accessibility_score,transport_score,charging_demand_component,commercial_demand_component,ev_registration_factor,time_pattern_factor,imbalance_score,is_underserved,priority_level,high_demand,high_supply,optimization_score
GRID_036_047,37.56425,126.96600000000004,67.93,70.84313,575,7,0.958879146079514,8625,81.69,78.65414828589647,45.55,50.0,1.1,1.1,0.9455323007224212,False,Low,True,False,6378.948876600165
GRID_035_050,37.55975,126.98280000000004,69.71,175.63305,1320,11,0.3969070741526153,19800,87.58,79.8697006256093,45.55,50.0,1.1,1.1,0.3946600027571283,False,Low,True,True,6376.792239526518
GRID_041_049,37.58675,126.97720000000004,70.36,70.84313,76,6,0.9931802843832565,1140,89.72,98.892684748521,45.55,50.0,1.1,1.1,0.9793559940943553,False,Low,True,False,6362.70383294238
GRID_036_051,37.56425,126.98840000000006,68.64,175.63305,1258,5,0.3908148267082989,18870,84.04,92.07449396727677,45.55,50.0,1.1,1.1,0.3886022462953564,False,Low,True,True,6340.495427666872
GRID_046_047,37.60925,126.96600000000004,59.25,31.54303,79,6,1.8783864454365988,1185,52.98,55.79568550022488,45.55,50.0,1.1,1.1,1.820666360815204,False,Medium,True,False,6338.406412484561
GRID_034_048,37.55525,126.97160000000004,67.6,70.84313,576,14,0.9542209668036972,8640,80.59,75.29808174378087,45.55,50.0,1.1,1.1,0.9409389596472202,False,Low,True,False,6311.289426106681
GRID_029_046,37.53275,126.96040000000004,56.2,32.587030000000006,680,2,1.7246125222212638,10200,42.9,42.52245583844757,45.55,50.0,1.1,1.1,1.6732649478087225,False,Medium,True,False,6289.495997779475
GRID_044_045,37.60025,126.95480000000003,59.81,31.54303,45,5,1.8961399713343965,675,54.83,46.09251042335468,45.55,50.0,1.1,1.1,1.8378743466726977,False,Medium,True,False,6283.123748168255
GRID_037_052,37.56875,126.99400000000006,66.14,175.63305,1555,14,0.3765806037075596,23325,75.76,80.38254692065425,45.55,50.0,1.1,1.1,0.3744486097024311,False,Low,True,True,6274.6970511778645
GRID_039_047,37.57775,126.96600000000004,68.39,70.84313,316,11,0.9653723656761072,4740,83.19,84.53535204940724,45.55,50.0,1.1,1.1,0.9519351397969436,False,Low,True,False,6239.219569661222
GRID_044_044,37.60025,126.94920000000003,57.84,31.54303,135,2,1.8336856034439304,2025,48.32,57.3832903093505,45.55,50.0,1.1,1.1,1.777339110709728,False,Medium,True,False,6220.910601695123
GRID_037_047,37.56875,126.96600000000004,67.93,70.84313,385,13,0.958879146079514,5775,81.69,80.94867468496533,45.55,50.0,1.1,1.1,0.9455323007224212,False,Low,True,False,6220.76925975196
GRID_046_046,37.60925,126.96040000000004,58.17,31.54303,99,5,1.844147502633704,1485,49.42,53.20846002767558,45.55,50.0,1.1,1.1,1.7874795309471798,False,Medium,True,False,6188.693185023727
GRID_041_048,37.58675,126.97160000000004,69.51,70.84313,81,7,0.9811819438243342,1215,86.92,89.51537759319282,45.55,50.0,1.1,1.1,0.967524661021868,False,Low,True,False,6183.911560679214
GRID_031_066,37.54175,127.07240000000009,72.28,101.68479,201,4,0.7108241065355005,3015,96.07,96.1415982150737,45.55,50.0,1.1,1.1,0.7039017170897461,False,Low,True,False,6178.312135197692
GRID_036_052,37.56425,126.99400000000006,66.14,175.63305,1387,11,0.3765806037075596,20805,75.76,84.69405422788287,45.55,50.0,1.1,1.1,0.3744486097024311,False,Low,True,True,6157.6595980347065
GRID_045_045,37.60475,126.95480000000003,58.35,31.54303,84,5,1.849853993100853,1260,50.02,49.104492971245264,45.55,50.0,1.1,1.1,1.793010669258517,False,Medium,True,False,6157.271973372574
GRID_041_050,37.58675,126.98280000000004,69.4,70.84313,124,4,0.979629217399062,1860,86.54,83.1639891558766,45.55,50.0,1.1,1.1,0.9659935473301344,False,Low,True,False,6149.505072066818
GRID_030_045,37.53725,126.95480000000003,56.53,32.587030000000006,450,5,1.7347392505545915,6750,44.0,45.72212406062268,45.55,50.0,1.1,1.1,1.6830901690325102,False,Medium,True,False,6145.585650245304
GRID_035_047,37.55975,126.96600000000004,67.22,70.84313,498,12,0.94885700278912,7470,79.35,69.60798631937291,45.55,50.0,1.1,1.1,0.9356496578030494,False,Low,True,False,6140.068947624421
GRID_038_047,37.57325,126.96600000000004,67.64,70.84313,259,10,0.9547855945947052,3885,80.72,86.10005474149882,45.55,50.0,1.1,1.1,0.941495728262396,False,Low,True,False,6121.3153279694525
GRID_031_065,37.54175,127.06680000000009,71.94,101.68479,246,1,0.7074804402900374,3690,94.95,88.77202587895552,45.55,50.0,1.1,1.1,0.700590613273884,False,Low,True,False,6113.854421935124
GRID_030_065,37.53725,127.06680000000009,71.34,101.68479,186,4,0.7015798527980438,2790,92.94,99.67496502582804,45.55,50.0,1.1,1.1,0.6947474888929509,False,Low,True,False,6105.783562621782
GRID_040_047,37.58225,126.96600000000004,68.37,70.84313,223,11,0.9650900517806033,3345,83.13,78.21898895452374,45.55,50.0,1.1,1.1,0.9516567554893558,False,Low,True,False,6085.375707869686
GRID_040_051,37.58225,126.98840000000006,68.19,70.84313,232,11,0.9625492267210666,3480,82.54,75.36010433028419,45.55,50.0,1.1,1.1,0.9491512967210642,False,Low,True,False,6046.397148199331
GRID_032_065,37.54625,127.06680000000009,70.56,101.68479,256,0,0.693909089058452,3840,90.39,93.00377945096132,45.55,50.0,1.1,1.1,0.6871514271977378,False,Low,True,False,6028.873130141458
GRID_035_046,37.55975,126.96040000000004,64.92,70.84313,518,10,0.916390904806154,7770,71.73,80.22899608507824,45.55,50.0,1.1,1.1,0.903635462430437,False,Low,True,False,6021.7424888380965
GRID_042_049,37.59125,126.97720000000004,68.32,70.84313,21,4,0.9643842670418428,315,82.97,90.57100644067692,45.55,50.0,1.1,1.1,0.950960794720386,False,Low,True,False,6011.120615443343
GRID_034_047,37.55525,126.96600000000004,66.01,70.84313,370,5,0.931777012111125,5550,75.33,80.51903046666469,45.55,50.0,1.1,1.1,0.9188074071939796,False,Low,True,False,5998.834145706941
